Target,Similarity
COc1ccc(O)c(C(C)(C)C)c1.COc1ccc(O)cc1C(C)(C)C,0.4389438943894389
O=[N+]([O-])c1ccc(O)cc1,0.4387755102040816
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,0.4380165289256198
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.4380165289256198
CC(=O)CCC(C)=O,0.43548387096774194
Clc1cc(Cl)c(Cl)cc1Cl,0.43333333333333335
O=C(O)COc1ccc(Cl)cc1,0.4321608040201005
CC(=O)Nc1ccc(O)cc1,0.43147208121827413
Cc1ccc([N+](=O)[O-])cc1,0.4292929292929293
Nc1ccccc1,0.42857142857142855
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,0.4282115869017632
Cc1c(O)cccc1O,0.42528735632183906
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,0.4233576642335766
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.4225
C=C(C)C(=O)OC,0.41964285714285715
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.41784037558685444
CCCCCCCCCc1ccccc1O,0.41732283464566927
CCCCCCCCc1ccccc1O,0.41732283464566927
CC1=CC(=C(c2ccc(N)c(C)c2)c2ccc(N)c(C)c2)C=CC1=[NH2+].[Cl-],0.4160206718346253
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,0.41595441595441596
CCCC[Sn](Br)(CCCC)CCCC,0.4152542372881356
COP(N)(=O)SC,0.41379310344827586
CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,0.41369047619047616
CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,0.41369047619047616
CN(C)c1ccc(C(O)(c2ccccc2)c2ccc(N(C)C)cc2)cc1,0.412751677852349
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,0.4125874125874126
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,0.4125874125874126
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,0.41116751269035534
COc1cccc(C2(O)CCCCC2CN(C)C)c1,0.41092636579572445
OC1(O)CCCO1,0.41025641025641024
O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,0.41012658227848103
O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,0.4094488188976378
CNC(C)Cc1ccc2c(c1)OCO2,0.408955223880597
CCC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)CC)c1,0.4078341013824885
COc1ccc(C(=CC(=O)N2CCOCC2)c2ccc(F)cc2)cc1OC,0.4074074074074074
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,0.4072948328267477
C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-],0.40703517587939697
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,0.40703517587939697
CCCC[Sn](Cl)(CCCC)CCCC,0.4067796610169492
O=C(O)C(Cl)(Cl)Cl,0.40625
COc1ccc2c(c1)CCC(c1ccccc1)=C2c1ccc(OCCN2CCCC2)cc1.Cl,0.4052863436123348
CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.4052132701421801
C=C(CC(CCc1ccccc1)c1ccccc1)c1ccccc1,0.40390879478827363
O=C1C=CC(=C(c2ccccc2)c2ccc(O)c3ccccc23)c2ccccc21,0.40350877192982454
Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,0.4034653465346535
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,0.4033412887828162
Oc1ccc(C2COc3cc(O)ccc3C2)cc1,0.40302267002518893
CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,0.40217391304347827
CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl,0.4010152284263959
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,0.4
CCCCCC=CCC(O)C(O)CCCCCCCC(=O)O,0.39896373056994816
CCCCCC=CCC(O)C(O)CCCCCCCC(=O)O,0.39896373056994816
CC(=O)O.O=CC(O)C(O)C(O)C(O)CO,0.39790575916230364
CCOC(=O)c1ccc(O)cc1,0.3977272727272727
CC(C)COC(=O)c1ccc(O)cc1,0.3971631205673759
CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],0.3968253968253968
C=COC(C)=O,0.3968253968253968
CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O,0.3967889908256881
CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,0.3962703962703963
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.3958333333333333
O=C(c1ccccc1)C1(O)CCCCC1,0.39473684210526316
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,0.39373601789709173
CCCOC(=O)c1ccc(O)cc1,0.3935018050541516
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.3933333333333333
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.3933333333333333
CCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C,0.392018779342723
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,0.39195979899497485
CC(C)(C[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c1ccccc1)O[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c1ccccc1)CC(C)(C)c1ccccc1)c1ccccc1,0.3917808219178082
CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O,0.391705069124424
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,0.391304347826087
N#Cc1ccc(C2CCCc3cncn32)cc1,0.3904109589041096
CC=CC(=O)Oc1c(CCCCCC(C)C)cc([N+](=O)[O-])cc1[N+](=O)[O-],0.38961038961038963
Oc1ccc(Sc2ccc(O)cc2)cc1,0.3891891891891892
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0.38913043478260867
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0.38913043478260867
CCCCOC(=O)c1ccc(O)cc1,0.3881118881118881
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0.3879093198992443
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0.3879093198992443
COC(=O)c1ccccc1C(=O)c1ccccc1,0.3873626373626374
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,0.3872549019607843
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,0.3872549019607843
CCCC[Sn](Cl)(Cl)CCCC,0.3865546218487395
COC(=O)c1ccc(O)cc1,0.3858267716535433
CCC12CCN(CC3CC3)C(C(=O)c3ccc(O)cc31)C2C,0.38556701030927837
CC(C)OC(=O)c1ccc(O)cc1,0.38545454545454544
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,0.38526315789473686
CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1,0.38509316770186336
NC(Cc1ccc(O)c(-c2cc(CC(N)C(=O)O)ccc2O)c1)C(=O)O,0.38481675392670156
Oc1c(Br)cc(Br)cc1Br,0.38461538461538464
CCC[Sn](Cl)(CCC)CCC,0.38461538461538464
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,0.38461538461538464
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,0.3842364532019704
CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.38405797101449274
Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,0.38390092879256965
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.3835616438356164
O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,0.3831967213114754
CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,0.38253638253638256
CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,0.38222222222222224
CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,0.3821138211382114
C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,0.3821138211382114
CC1CCCC(O)CCCCCc2cc(O)cc(O)c2C(=O)O1,0.38207547169811323
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,0.382
N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,0.3819444444444444
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.38181818181818183
C=Cc1c(Cl)cccc1Cl,0.3811881188118812
CS(=O)(=O)c1cc(Cl)ccc1C(=C(Cl)Cl)c1ccc(Cl)cc1,0.3810623556581986
CC1CCCC(O)CCCC=Cc2cc(O)cc(O)c2C(=O)O1,0.3810623556581986
